;City;Pop size;lat;long
0;Acquafredda;1615;45.307378;10.414677
1;Adro;7180;45.6224015;9.961376
2;Agnosine;1839;45.650676;10.3533352
3;Alfianello;2476;45.266975;10.148172
4;Anfo;487;45.76639;10.493771
5;Angolo Terme;2563;45.8910363;10.1460986
6;Artogne;3545;45.8489819;10.1645561
7;Azzano Mella;2900;45.454722;10.1168233
8;Bagnolo Mella;12969;45.429079;10.18437
9;Bagolino;3968;45.8235613;10.4627308
10;Barbariga;2410;45.405077;10.054367
11;Barghe;1195;45.681887;10.41217
12;Bassano Bresciano;2219;45.327176;10.12837
13;Bedizzole;11937;45.5105711;10.4230323
14;Berlingo;2600;45.50298;10.043665
15;Berzo Demo;1751;46.0934179;10.336266
16;Berzo Inferiore;2439;45.931693;10.2805867
17;Bienno;3615;45.935562;10.2947906
18;Bione;1471;45.672786;10.338869
19;Borgo San Giacomo;5536;45.346975;9.968467
20;Borgosatollo;9232;45.4772616;10.2408108
21;Borno;2672;45.9473303;10.2064036
22;Botticino;10792;45.5496802;10.3132590445481
23;Bovegno;2280;45.7933072;10.2737559
24;Bovezzo;7512;45.5931372;10.2434802
25;Brandico;1653;45.454178;10.052666
26;Braone;673;45.9900343;10.3431903
27;Breno;4965;45.9563241;10.3040404
28;Brescia;193879;45.5398022;10.2200214
29;Brione;703;45.6429453;10.1469445
30;Caino;2082;45.6126766;10.3150854
31;Calcinato;12725;45.457182;10.413574
32;Calvagese della Riviera;3501;45.54004;10.445833
33;Calvisano;8726;45.3480525;10.345921
34;Capo di Ponte;2519;46.030996;10.345862
35;Capovalle;401;45.7544353;10.54469
36;Capriano del Colle;4499;45.4548691;10.1303478
37;Capriolo;9322;45.6372565;9.9336046
38;Carpenedolo;12698;45.3646065;10.4293846
39;Castegnato;7987;45.5607142;10.1153088
40;Castel Mella;10803;45.4995922;10.1450083
41;Castelcovati;6564;45.4984126;9.9432818
42;Castenedolo;11215;45.4715763;10.29831
43;Casto;1900;45.6945498;10.3212431
44;Castrezzato;7018;45.5125048;9.977855
45;Cazzago San Martino;11060;45.580508;10.0262148
46;Cedegolo;1256;46.0766465;10.350068
47;Cellatica;4943;45.5841062;10.1802449
48;Cerveno;674;46.0025085;10.3257912
49;Ceto;1963;46.002595;10.351963
50;Cevo;949;46.081397;10.368562
51;Chiari;18887;45.5364624;9.928846
52;Cigole;1669;45.3086363;10.1893747
53;Cimbergo;579;46.024096;10.365663
54;Cividate Camuno;2776;45.942493;10.277462
55;Coccaglio;8575;45.5634485;9.9782721
56;Collebeato;4771;45.5813147;10.2102711
57;Collio;2292;45.8093124;10.3328723
58;Cologne;7600;45.5815203;9.9411725
59;Comezzano-Cizzago;3702;45.471278;9.950064
60;Concesio;15005;45.605184;10.216967
61;Corte Franca;7189;45.6374172;10.0064681
